sno,Rooms,Bathrooms,Area,Converted_Area,Dogs_allowed,Cats_allowed
325,3,1.0,0,0.0,not allowed,not allowed
326,2,1.0,0,0.0,not allowed,not allowed
327,1,1.0,315sf,315.0,not allowed,not allowed
328,4,1.0,0,0.0,allowed,allowed
329,1,1.0,0,0.0,not allowed,not allowed
330,1,1.0,0,0.0,not allowed,not allowed
332,1,1.0,0,0.0,not allowed,not allowed
333,2,1.0,1217sf,1217.0,not allowed,not allowed
334,6,3.0,0,0.0,not allowed,not allowed
335,2,1.5,1400sf,1400.0,not allowed,not allowed
336,3,1.0,1276sf,1276.0,not allowed,not allowed
337,3,1.0,2376sf,2376.0,not allowed,not allowed
338,2,2.0,0,0.0,allowed,allowed
339,3,1.0,0,0.0,allowed,allowed
340,1,1.0,0,0.0,not allowed,not allowed
341,2,1.0,0,0.0,not allowed,not allowed
342,2,1.0,0,0.0,allowed,allowed
343,3,3.0,999sf,999.0,not allowed,not allowed
344,1,1.0,0,0.0,not allowed,not allowed
346,2,1.0,1000sf,1000.0,not allowed,not allowed
347,2,1.0,0,0.0,not allowed,not allowed
348,3,1.0,1350sf,1350.0,not allowed,allowed
349,2,1.0,1901sf,1901.0,not allowed,not allowed
350,3,1.0,2352sf,2352.0,not allowed,not allowed
351,3,1.0,1400sf,1400.0,not allowed,not allowed
352,3,1.0,1250sf,1250.0,not allowed,not allowed
353,4,1.0,1450sf,1450.0,not allowed,not allowed
354,1,1.0,1000sf,1000.0,not allowed,not allowed
356,4,1.0,1360sf,1360.0,not allowed,not allowed
357,3,1.0,0,0.0,allowed,allowed
358,2,2.5,1505sf,1505.0,not allowed,not allowed
359,1,1.0,0,0.0,not allowed,not allowed
360,1,1.0,0,0.0,allowed,allowed
361,4,2.5,2640sf,2640.0,not allowed,not allowed
362,3,2.0,0,0.0,not allowed,not allowed
363,3,2.0,0,0.0,allowed,allowed
364,1,1.0,38606sf,38606.0,not allowed,not allowed
365,1,1.0,0,0.0,not allowed,not allowed
366,2,1.0,650sf,650.0,allowed,allowed
367,3,1.0,1100sf,1100.0,not allowed,not allowed
368,1,1.0,4503sf,4503.0,not allowed,not allowed
370,2,1.0,5386sf,5386.0,not allowed,not allowed
371,3,1.0,1335sf,1335.0,not allowed,not allowed
372,2,1.0,1764sf,1764.0,not allowed,not allowed
373,1,1.0,0,0.0,allowed,allowed
374,1,1.0,0,0.0,not allowed,not allowed
375,3,1.0,1250sf,1250.0,not allowed,not allowed
376,2,2.5,1532sf,1532.0,not allowed,not allowed
377,1,1.0,0,0.0,not allowed,not allowed
378,3,2.5,3121sf,3121.0,not allowed,not allowed
380,1,1.0,0,0.0,not allowed,not allowed
381,1,1.0,3987sf,3987.0,not allowed,not allowed
382,2,1.0,900sf,900.0,not allowed,not allowed
383,3,2.0,0,0.0,not allowed,not allowed
384,1,1.0,0,0.0,not allowed,not allowed
385,5,2.0,0,0.0,not allowed,allowed
386,3,1.0,1100sf,1100.0,not allowed,not allowed
387,4,3.0,2700sf,2700.0,not allowed,not allowed
388,4,1.0,0,0.0,not allowed,not allowed
389,2,1.0,0,0.0,not allowed,not allowed
390,2,1.0,0,0.0,not allowed,not allowed
391,3,1.0,1200sf,1200.0,not allowed,not allowed
392,3,1.0,0,0.0,not allowed,not allowed
394,5,1.0,0,0.0,allowed,not allowed
395,3,1.0,3532sf,3532.0,not allowed,not allowed
396,1,1.0,0,0.0,allowed,allowed
397,1,1.0,850sf,850.0,allowed,allowed
398,1,1.0,713sf,713.0,not allowed,not allowed
399,2,1.0,3462sf,3462.0,not allowed,not allowed
400,3,1.0,0,0.0,not allowed,not allowed
401,4,1.0,0,0.0,not allowed,not allowed
402,3,3.0,1900sf,1900.0,allowed,allowed
404,3,1.0,2000sf,2000.0,not allowed,not allowed
405,1,0.5,3348sf,3348.0,not allowed,not allowed
406,3,1.0,1222sf,1222.0,not allowed,not allowed
407,1,1.0,700sf,700.0,not allowed,not allowed
408,4,1.0,2260sf,2260.0,not allowed,not allowed
409,2,1.0,950sf,950.0,not allowed,not allowed
410,5,2.0,0,0.0,allowed,allowed
411,2,1.0,0,0.0,not allowed,not allowed
412,2,1.0,1200sf,1200.0,allowed,allowed
413,1,1.0,400sf,400.0,not allowed,not allowed
414,2,2.0,1500sf,1500.0,not allowed,not allowed
415,1,1.0,900sf,900.0,not allowed,not allowed
416,1,1.0,700sf,700.0,not allowed,not allowed
418,3,1.0,1350sf,1350.0,not allowed,not allowed
419,2,1.0,1684sf,1684.0,not allowed,not allowed
420,1,1.0,300sf,300.0,not allowed,not allowed
421,2,2.0,666sf,666.0,not allowed,not allowed
422,6,2.0,0,0.0,allowed,allowed
423,3,1.0,2620sf,2620.0,not allowed,not allowed
424,1,1.0,0,0.0,not allowed,not allowed
425,3,2.0,0,0.0,allowed,allowed
426,6,4.0,8611sf,8611.0,not allowed,not allowed
428,2,2.0,0,0.0,not allowed,not allowed
429,3,1.0,1147sf,1147.0,not allowed,not allowed
430,1,1.0,0,0.0,not allowed,not allowed
431,3,2.0,1140sf,1140.0,allowed,allowed
432,3,2.0,4305sf,4305.0,not allowed,not allowed
433,1,1.0,477sf,477.0,not allowed,not allowed
434,2,2.0,1600sf,1600.0,not allowed,not allowed
435,4,3.0,0,0.0,not allowed,not allowed
436,3,1.0,1200sf,1200.0,not allowed,not allowed
437,1,1.0,0,0.0,not allowed,not allowed
438,2,2.0,0,0.0,not allowed,not allowed
439,2,1.0,1300sf,1300.0,not allowed,not allowed
440,1,1.0,0,0.0,not allowed,not allowed
442,3,1.0,900sf,900.0,not allowed,not allowed
443,3,2.0,0,0.0,not allowed,not allowed
444,2,1.0,0,0.0,allowed,allowed
445,3,2.0,1614sf,1614.0,allowed,allowed
446,1,1.0,0,0.0,not allowed,not allowed
447,3,2.0,0,0.0,not allowed,not allowed
448,3,1.0,2908sf,2908.0,not allowed,not allowed
449,2,1.0,1200sf,1200.0,not allowed,not allowed
450,4,1.0,1360sf,1360.0,not allowed,not allowed
452,3,1.0,800sf,800.0,allowed,allowed
453,2,1.0,5025sf,5025.0,not allowed,not allowed
454,3,1.0,2247sf,2247.0,not allowed,not allowed
455,5,3.0,0,0.0,not allowed,not allowed
456,2,2.0,2192sf,2192.0,not allowed,not allowed
457,1,1.0,0,0.0,not allowed,not allowed
458,3,2.0,1593sf,1593.0,allowed,allowed
459,1,1.0,40292sf,40292.0,not allowed,not allowed
460,3,2.0,0,0.0,not allowed,not allowed
461,2,1.0,0,0.0,allowed,allowed
462,1,1.0,0,0.0,not allowed,not allowed
463,1,1.0,4129sf,4129.0,not allowed,not allowed
464,2,1.0,4129sf,4129.0,not allowed,not allowed
466,2,1.0,4129sf,4129.0,not allowed,not allowed
467,1,2.0,0,0.0,not allowed,not allowed
468,1,1.0,0,0.0,allowed,allowed
469,3,1.0,1934sf,1934.0,not allowed,not allowed
470,1,1.0,0,0.0,not allowed,not allowed
471,3,1.5,2000sf,2000.0,not allowed,not allowed
472,1,1.0,300sf,300.0,not allowed,not allowed
473,2,1.0,0,0.0,allowed,allowed
474,2,1.0,8005sf,8005.0,not allowed,not allowed
476,2,1.0,800sf,800.0,not allowed,not allowed
477,2,1.0,2024sf,2024.0,not allowed,not allowed
478,2,1.0,1100sf,1100.0,not allowed,not allowed
479,1,1.0,1200sf,1200.0,not allowed,not allowed
480,1,1.0,0,0.0,not allowed,not allowed
481,2,2.0,40292sf,40292.0,not allowed,not allowed
482,2,1.0,1300sf,1300.0,allowed,allowed
483,3,1.0,1248sf,1248.0,not allowed,not allowed
484,2,1.0,1903sf,1903.0,not allowed,not allowed
485,1,1.0,900sf,900.0,not allowed,not allowed
486,2,1.0,0,0.0,allowed,allowed
487,2,1.0,1364sf,1364.0,not allowed,not allowed
488,2,2.0,1560sf,1560.0,allowed,allowed
490,3,1.0,1341sf,1341.0,not allowed,not allowed
491,2,1.0,1614sf,1614.0,allowed,allowed
492,2,1.0,0,0.0,allowed,allowed
493,1,1.0,0,0.0,not allowed,not allowed
494,2,1.0,1000sf,1000.0,allowed,allowed
495,1,1.0,0,0.0,not allowed,not allowed
496,2,1.0,0,0.0,allowed,allowed
497,1,1.0,435sf,435.0,not allowed,not allowed
498,1,1.0,400sf,400.0,not allowed,not allowed
500,3,1.0,0,0.0,not allowed,not allowed
501,2,1.0,1200sf,1200.0,not allowed,not allowed
502,3,1.0,1400sf,1400.0,not allowed,not allowed
503,2,1.0,960sf,960.0,allowed,allowed
504,3,2.0,1560sf,1560.0,not allowed,not allowed
505,3,1.0,2388sf,2388.0,not allowed,not allowed
506,4,4.0,0,0.0,not allowed,not allowed
507,1,1.0,866sf,866.0,not allowed,not allowed
508,1,1.0,2250sf,2250.0,not allowed,not allowed
509,4,2.0,0,0.0,allowed,allowed
510,3,1.0,1296sf,1296.0,not allowed,not allowed
