sno,City,Location,StateCode,CountryCode,Price,Price_INR,Deposite
309,Austin TX,"Austin, TX",TX,US,"$4,080",303960.0,0.0
310,Austin TX,"Austin, TX",TX,US,"$3,990",297255.0,0.0
311,Austin TX,"Austin, TX",TX,US,"$3,000",223500.0,0.0
312,Austin TX,"Austin, TX, 78741",TX,US,"$1,530",113985.0,0.0
313,Buffalo NY,"290 South Elmwood Avenue, Buffalo, NY 14201, USA",NY,US,$950,70775.0,0.0
314,Buffalo NY,"439 University Avenue, Unit Upper Unit",NY,US,"$1,550",115475.0,115475.0
315,Buffalo NY,"City Centre Condominiums, Main Street, Buffalo, NY 14264, USA",NY,US,"$3,500",260750.0,0.0
316,Buffalo NY,"351 Roesch Avenue, Buffalo, NY 14207, USA",NY,US,$900,67050.0,0.0
317,Buffalo NY,"Buffalo, NY",NY,US,"$4,260",317370.0,0.0
318,Buffalo NY,"The Buffalo Institute for Contemporary Art (BICA), Essex Street, Buffalo, NY 14213, USA",NY,US,"$1,900",141550.0,0.0
319,Buffalo NY,"66 Tracy Street, Buffalo, NY 14201, USA",NY,US,"$1,200",89400.0,0.0
320,Buffalo NY,"Buffalo, NY",NY,US,"$4,080",303960.0,0.0
322,Buffalo NY,"15 Rugby Road, Unit Lower",NY,US,"$1,400",104300.0,104300.0
323,Buffalo NY,"Buffalo, NY",NY,US,"$5,670",422415.0,0.0
