City,Price,Rooms,Bathrooms,Area,Location,Amenities,Dogs_allowed,Cats_allowed,Deposite
Austin TX,"$2,960",2,1.5,897sf,"397 San Jacinto Boulevard, Austin, TX 78701, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$7,500",Studio,1.0,"1,400sf","Austin, TX","['Air Conditioning', 'Parking', 'Pool', 'Dishwasher', 'Garden']",not allowed,not allowed,0
Austin TX,$940,2,1.0,unknown,"Austin, College Court, TX, US",[],allowed,allowed,0
Austin TX,"$4,800",3,2.0,"1,976sf","4602 Roundup Trail, Austin, TX 78745, USA",[],not allowed,not allowed,0
Austin TX,"$1,700",2,2.0,"1,167sf","1734 Timberwood Drive, Austin, TX 78741, USA",[],not allowed,not allowed,0
Austin TX,"$3,270",Studio,1.0,unknown,"Austin, TX","['Air Conditioning', 'Balcony', 'Fireplace', 'Parking', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$5,400",3,2.5,"1,836sf","2203 Willow Street, Austin, TX 78702, USA",[],not allowed,not allowed,0
Austin TX,"$14,280",3,3.0,"2,000sf","Austin, TX","['Air Conditioning', 'Balcony', 'Fireplace', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$4,500",Studio,1.0,unknown,"720 Harris Avenue, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$2,250",3,2.0,"1,328sf","6903 Skynook Drive, Austin, TX 78745, USA",[],not allowed,not allowed,0
Austin TX,$975,1,1.0,unknown,"2210 Onion Creek Parkway, Austin, TX 78747, USA",['Furnished'],not allowed,not allowed,0
Austin TX,"$3,200",1,1.0,770sf,"360 Condominiums, 360 Nueces Street, Austin, TX 78701, USA",[],not allowed,not allowed,0
Austin TX,"$4,088",1,1.0,689sf,"West Highland Mall Boulevard, Austin, TX 78752, USA","['Air Conditioning', 'Dishwasher', 'Washer/Dryer In Unit', 'Gym', 'Elevator', 'Parking']",not allowed,not allowed,0
Austin TX,"$1,069",2,2.0,"1,027sf","Wells Branch, TX, US",[],allowed,allowed,0
,,,,,,,,,
Austin TX,"$1,305",1,1.0,700sf,"1203 West 49th Street, Austin, TX 78756, USA",[],not allowed,not allowed,0
Austin TX,"$18,510",3,2.0,unknown,"Austin, TX","['Air Conditioning', 'Parking', 'Pool', 'Dishwasher', 'Wheelchair Accessible']",not allowed,not allowed,0
Austin TX,"$2,300",4,2.0,"1,503sf","10610 Berthound Drive, Austin, TX 78758, USA",[],not allowed,not allowed,0
Austin TX,"$8,760",2,1.0,unknown,"Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$1,450",Studio,1.0,unknown,"8410 Lyndon Lane, Austin, TX 78729, USA",[],not allowed,not allowed,0
Austin TX,"$3,990",3,1.5,"1,202sf","6920 Bryn Mawr Drive, Austin, TX 78723, USA",[],not allowed,not allowed,0
Austin TX,"$2,150",4,2.0,"1,744sf","9207 Shady Oaks Drive, Austin, TX 78729, USA",[],not allowed,not allowed,0
Austin TX,"$5,250",2,2.0,unknown,"Austin, TX","['Air Conditioning', 'Parking']",not allowed,not allowed,0
Austin TX,"$1,025",1,1.0,394sf,"3000 Guadalupe Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$7,770",1,1.0,740sf,"Austin, TX","['Air Conditioning', 'Balcony', 'Elevator', 'Parking', 'Pool', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$2,400",4,3.5,"2,112sf","516 East Slaughter Lane, Austin, TX 78744, USA",[],not allowed,not allowed,0
Austin TX,"$8,670",3,2.0,"1,659sf","Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$1,225",2,1.0,900sf,1405 River Birch Way,"['Storage', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']",allowed,not allowed,"$1,225"
Austin TX,"$2,549",4,2.0,"2,525sf","2032 Nelson Ranch Loop, Cedar Park, TX 78613, USA",[],not allowed,not allowed,0
Austin TX,"$2,995",2,1.5,"1,200sf","2102 West 11th Street, Austin, TX 78703, USA",[],not allowed,not allowed,0
Austin TX,"$3,100",4,2.0,"1,380sf",2807 Ashdale Drive,"['Dishwasher', 'Hardwood Floors']",allowed,allowed,"$3,200"
Austin TX,"$7,860",3,2.0,unknown,"Jonestown, TX","['Air Conditioning', 'Balcony', 'Elevator', 'Parking', 'Pool', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$3,800",4,3.0,"1,678sf","4423 Diane Drive, Austin, TX 78745, USA",[],not allowed,not allowed,0
Austin TX,"$3,300",3,2.0,"1,239sf","Austin, TX","['Air Conditioning', 'Parking', 'Pool', 'Dishwasher', 'Garden', 'Wheelchair Accessible']",not allowed,not allowed,0
Austin TX,"$3,030",Studio,1.0,453sf,"Austin, TX","['Air Conditioning', 'Balcony', 'Elevator', 'Pool', 'Dishwasher']",allowed,allowed,0
Austin TX,"$2,595",3,2.5,"2,058sf","6036 Mesa Verde Circle, Austin, TX 78749, USA",[],not allowed,not allowed,0
Austin TX,"$27,780",6,4.0,"3,200sf","Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
,,,,,,,,,
Austin TX,"$1,795",1,1.0,569sf,"1500 East Side Drive, Austin, TX 78704, USA",[],not allowed,not allowed,0
Austin TX,"$2,995",Studio,1.0,unknown,"2819 San Gabriel Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$7,980",Studio,1.0,unknown,"Austin, TX","['Air Conditioning', 'Elevator', 'Parking', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$15,000",4,4.0,"4,782sf","4304 Balcones Drive, Austin, TX 73301, USA",[],not allowed,not allowed,0
Austin TX,"$2,750",Studio,1.0,unknown,"9104 Rockcrest Circle, Austin, TX 78759, USA",[],not allowed,not allowed,0
Austin TX,"$1,495",Studio,1.0,unknown,"5703 Gloucester Lane, Austin, TX 78723, USA",[],not allowed,not allowed,0
Austin TX,"$1,800",2,2.0,842sf,"1010 West 23rd Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$2,450",4,2.5,"2,378sf","406 Sycamore Drive, Cedar Park, TX 78613, USA",[],not allowed,not allowed,0
Austin TX,"$1,175",1,1.0,550sf,"2818 Nueces Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$1,700",2,1.0,718sf,"803 West 28th Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$3,150",2,2.0,unknown,"Round Rock, TX",['Air Conditioning'],allowed,allowed,0
Austin TX,"$1,825",2,2.0,"1,114sf","16291 Conchos Valley Drive, Brushy Creek, TX 78681, USA",[],not allowed,not allowed,0
Austin TX,"$1,450",Studio,1.0,unknown,"11301 Nicole Cove, Austin, TX 78753, USA",[],not allowed,not allowed,0
Austin TX,"$2,580",2,1.0,700sf,"Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
